,job_id,client_id,final_job_status,city,almost_picking_at,pickup_at,almost_picking_at_vs_pickup_at
30,6074988,30361,finished,Barcelona,2019-02-18 19:07:27,2019-02-18 19:15:00,-7.55
31,6075558,27383,finished,Barcelona,2019-02-18 17:59:16,2019-02-18 18:00:00,-0.7333
32,6078382,52076,finished,Barcelona,2019-02-18 19:21:12,2019-02-18 19:15:00,6.2
33,6079208,40006,finished,Madrid,2019-02-18 19:22:11,2019-02-18 19:25:07,-2.9333
34,6081007,43919,finished,Barcelona,2019-02-18 20:16:09,2019-02-18 20:17:00,-0.85
35,6081815,27598,finished,Barcelona,2019-02-18 20:41:03,2019-02-18 20:45:00,-3.95
36,6082101,43919,finished,Barcelona,2019-02-18 20:45:14,2019-02-18 20:52:00,-6.7666
37,6083655,40006,finished,Barcelona,2019-02-18 22:07:28,2019-02-18 21:59:42,7.7666
38,6064837,38776,finished,Madrid,2019-02-18 08:57:31,2019-02-18 09:00:00,-2.4833
39,6064860,38777,finished,Madrid,2019-02-18 08:35:04,2019-02-18 08:40:00,-4.9333
40,6064979,30361,finished,Barcelona,2019-02-18 10:12:37,2019-02-18 10:15:00,-2.3833
41,6065006,30361,finished,Barcelona,2019-02-18 12:09:34,2019-02-18 12:15:00,-5.4333
42,6065023,30361,finished,Barcelona,2019-02-18 10:06:17,2019-02-18 10:15:00,-8.7166
43,6065117,22836,finished,Barcelona,2019-02-18 09:48:06,2019-02-18 09:45:00,3.1
44,6065135,41143,finished,Madrid,2019-02-18 08:58:53,2019-02-18 09:00:00,-1.1166
45,6065166,31746,finished,Barcelona,2019-02-18 09:28:31,2019-02-18 09:30:00,-1.4833
46,6065166,31746,finished,Barcelona,2019-02-18 09:28:32,2019-02-18 09:30:00,-1.4666
47,6065193,38776,finished,Madrid,2019-02-18 14:23:08,2019-02-18 14:30:00,-6.8666
48,6065234,22836,finished,Barcelona,2019-02-18 09:29:45,2019-02-18 09:30:00,-0.25
49,6065265,22836,finished,Barcelona,2019-02-18 10:10:45,2019-02-18 10:15:00,-4.25
50,6066009,23332,finished,Barcelona,2019-02-18 11:02:23,2019-02-18 11:00:00,2.3833
51,6066009,23332,finished,Barcelona,2019-02-18 11:02:24,2019-02-18 11:00:00,2.4
52,6066061,68354,finished,Barcelona,2019-02-18 10:39:32,2019-02-18 10:30:00,9.5333
